model,K,spk,local_t,gi,target,method,target_top1
audioseal,2,chinese:SSB0005,0,0,10117,mean,0
audioseal,2,chinese:SSB0005,0,0,10117,tct,0
audioseal,2,chinese:SSB0005,0,0,49620,mean,0
audioseal,2,chinese:SSB0005,0,0,49620,tct,0
audioseal,2,chinese:SSB0005,0,0,38969,mean,0
audioseal,2,chinese:SSB0005,0,0,38969,tct,0
audioseal,2,chinese:SSB0005,0,0,48856,mean,0
audioseal,2,chinese:SSB0005,0,0,48856,tct,0
audioseal,2,chinese:SSB0005,0,0,23089,mean,0
audioseal,2,chinese:SSB0005,0,0,23089,tct,0
audioseal,2,chinese:SSB0005,0,0,52645,mean,0
audioseal,2,chinese:SSB0005,0,0,52645,tct,0
audioseal,2,chinese:SSB0005,0,0,53979,mean,0
audioseal,2,chinese:SSB0005,0,0,53979,tct,0
audioseal,2,chinese:SSB0005,0,0,7080,mean,0
audioseal,2,chinese:SSB0005,0,0,7080,tct,0
audioseal,2,chinese:SSB0005,0,0,2418,mean,0
audioseal,2,chinese:SSB0005,0,0,2418,tct,0
audioseal,2,chinese:SSB0005,0,0,35649,mean,0
audioseal,2,chinese:SSB0005,0,0,35649,tct,0
audioseal,2,chinese:SSB0005,1,1,40034,mean,0
audioseal,2,chinese:SSB0005,1,1,40034,tct,0
audioseal,2,chinese:SSB0005,1,1,2557,mean,0
audioseal,2,chinese:SSB0005,1,1,2557,tct,0
audioseal,2,chinese:SSB0005,1,1,37887,mean,0
audioseal,2,chinese:SSB0005,1,1,37887,tct,0
audioseal,2,chinese:SSB0005,1,1,40283,mean,0
audioseal,2,chinese:SSB0005,1,1,40283,tct,0
audioseal,2,chinese:SSB0005,1,1,62975,mean,0
audioseal,2,chinese:SSB0005,1,1,62975,tct,0
audioseal,2,chinese:SSB0005,1,1,13821,mean,0
audioseal,2,chinese:SSB0005,1,1,13821,tct,0
audioseal,2,chinese:SSB0005,1,1,59916,mean,0
audioseal,2,chinese:SSB0005,1,1,59916,tct,0
audioseal,2,chinese:SSB0005,1,1,22378,mean,0
audioseal,2,chinese:SSB0005,1,1,22378,tct,0
audioseal,2,chinese:SSB0005,1,1,23123,mean,0
audioseal,2,chinese:SSB0005,1,1,23123,tct,0
audioseal,2,chinese:SSB0005,1,1,16908,mean,0
audioseal,2,chinese:SSB0005,1,1,16908,tct,0
audioseal,2,chinese:SSB0005,2,2,9382,mean,0
audioseal,2,chinese:SSB0005,2,2,9382,tct,0
audioseal,2,chinese:SSB0005,2,2,35847,mean,0
audioseal,2,chinese:SSB0005,2,2,35847,tct,0
audioseal,2,chinese:SSB0005,2,2,63363,mean,0
audioseal,2,chinese:SSB0005,2,2,63363,tct,0
audioseal,2,chinese:SSB0005,2,2,29988,mean,0
audioseal,2,chinese:SSB0005,2,2,29988,tct,0
audioseal,2,chinese:SSB0005,2,2,5502,mean,0
audioseal,2,chinese:SSB0005,2,2,5502,tct,0
audioseal,2,chinese:SSB0005,2,2,46818,mean,0
audioseal,2,chinese:SSB0005,2,2,46818,tct,0
audioseal,2,chinese:SSB0005,2,2,3602,mean,0
audioseal,2,chinese:SSB0005,2,2,3602,tct,0
audioseal,2,chinese:SSB0005,2,2,14290,mean,0
audioseal,2,chinese:SSB0005,2,2,14290,tct,0
audioseal,2,chinese:SSB0005,2,2,2111,mean,0
audioseal,2,chinese:SSB0005,2,2,2111,tct,0
audioseal,2,chinese:SSB0005,2,2,13071,mean,0
audioseal,2,chinese:SSB0005,2,2,13071,tct,0
audioseal,2,chinese:SSB0009,0,3,17769,mean,0
audioseal,2,chinese:SSB0009,0,3,17769,tct,0
audioseal,2,chinese:SSB0009,0,3,20819,mean,0
audioseal,2,chinese:SSB0009,0,3,20819,tct,0
audioseal,2,chinese:SSB0009,0,3,37500,mean,0
audioseal,2,chinese:SSB0009,0,3,37500,tct,0
audioseal,2,chinese:SSB0009,0,3,65340,mean,0
audioseal,2,chinese:SSB0009,0,3,65340,tct,0
audioseal,2,chinese:SSB0009,0,3,31076,mean,0
audioseal,2,chinese:SSB0009,0,3,31076,tct,0
audioseal,2,chinese:SSB0009,0,3,20463,mean,0
audioseal,2,chinese:SSB0009,0,3,20463,tct,0
audioseal,2,chinese:SSB0009,0,3,52270,mean,0
audioseal,2,chinese:SSB0009,0,3,52270,tct,0
audioseal,2,chinese:SSB0009,0,3,7111,mean,0
audioseal,2,chinese:SSB0009,0,3,7111,tct,0
audioseal,2,chinese:SSB0009,0,3,24901,mean,0
audioseal,2,chinese:SSB0009,0,3,24901,tct,0
audioseal,2,chinese:SSB0009,0,3,57658,mean,0
audioseal,2,chinese:SSB0009,0,3,57658,tct,0
audioseal,2,chinese:SSB0009,1,4,39916,mean,0
audioseal,2,chinese:SSB0009,1,4,39916,tct,0
audioseal,2,chinese:SSB0009,1,4,48297,mean,0
audioseal,2,chinese:SSB0009,1,4,48297,tct,0
audioseal,2,chinese:SSB0009,1,4,1248,mean,0
audioseal,2,chinese:SSB0009,1,4,1248,tct,0
audioseal,2,chinese:SSB0009,1,4,38618,mean,0
audioseal,2,chinese:SSB0009,1,4,38618,tct,0
audioseal,2,chinese:SSB0009,1,4,51997,mean,0
audioseal,2,chinese:SSB0009,1,4,51997,tct,0
audioseal,2,chinese:SSB0009,1,4,9688,mean,0
audioseal,2,chinese:SSB0009,1,4,9688,tct,0
audioseal,2,chinese:SSB0009,1,4,42895,mean,0
audioseal,2,chinese:SSB0009,1,4,42895,tct,0
audioseal,2,chinese:SSB0009,1,4,42602,mean,0
audioseal,2,chinese:SSB0009,1,4,42602,tct,0
audioseal,2,chinese:SSB0009,1,4,57316,mean,0
audioseal,2,chinese:SSB0009,1,4,57316,tct,0
audioseal,2,chinese:SSB0009,1,4,40148,mean,0
audioseal,2,chinese:SSB0009,1,4,40148,tct,0
audioseal,2,chinese:SSB0009,2,5,34711,mean,0
audioseal,2,chinese:SSB0009,2,5,34711,tct,0
audioseal,2,chinese:SSB0009,2,5,34776,mean,0
audioseal,2,chinese:SSB0009,2,5,34776,tct,0
audioseal,2,chinese:SSB0009,2,5,46792,mean,0
audioseal,2,chinese:SSB0009,2,5,46792,tct,0
audioseal,2,chinese:SSB0009,2,5,12789,mean,0
audioseal,2,chinese:SSB0009,2,5,12789,tct,0
audioseal,2,chinese:SSB0009,2,5,38707,mean,0
audioseal,2,chinese:SSB0009,2,5,38707,tct,0
audioseal,2,chinese:SSB0009,2,5,37950,mean,0
audioseal,2,chinese:SSB0009,2,5,37950,tct,0
audioseal,2,chinese:SSB0009,2,5,9649,mean,0
audioseal,2,chinese:SSB0009,2,5,9649,tct,0
audioseal,2,chinese:SSB0009,2,5,50096,mean,0
audioseal,2,chinese:SSB0009,2,5,50096,tct,0
