model,k,trial_id,speaker,fold,condition,identity,target_rank,minimum_confidence,mean_confidence,log_confidence_variance,source_path,confidence_source
audioseal,8,0,chinese:SSB0005,1,average,47903,,0.6577828526,0.7670637853,-6.1265446327,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,native decoder bit marginal
audioseal,8,0,chinese:SSB0005,1,single,60587,,0.7155149579,0.7627784591,-6.6184345725,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,native decoder bit marginal
audioseal,8,0,chinese:SSB0005,1,targeted,60850,6,0.6250253320,0.7315907106,-6.1190613118,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,native decoder bit marginal
audioseal,8,0,chinese:SSB0005,1,targeted,44466,7,0.5421304405,0.7162450291,-5.4714464414,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,native decoder bit marginal
audioseal,8,0,chinese:SSB0005,1,targeted,11666,10,0.6744351685,0.7284993473,-6.8408985155,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,native decoder bit marginal
audioseal,8,1,chinese:SSB0005,1,average,46343,,0.5168526471,0.6777706034,-4.9089076306,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,native decoder bit marginal
audioseal,8,1,chinese:SSB0005,1,single,50504,,0.7284628749,0.7740909588,-7.1644501260,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,native decoder bit marginal
audioseal,8,1,chinese:SSB0005,1,targeted,42193,3,0.5098017454,0.7180123832,-5.5289177499,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,native decoder bit marginal
audioseal,8,1,chinese:SSB0005,1,targeted,58440,4,0.6033106744,0.7268300466,-5.5413626479,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,native decoder bit marginal
audioseal,8,1,chinese:SSB0005,1,targeted,58696,7,0.6798564792,0.7470824178,-6.6034691764,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,average,31840,,0.5191088915,0.6913195867,-4.6265781327,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,single,43882,,0.7051357925,0.7633461561,-6.9499404651,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,targeted,65184,1,0.5458744764,0.7423217781,-5.0599455823,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,targeted,16032,2,0.5586946607,0.7375644296,-5.4783867982,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,targeted,56992,5,0.6127119064,0.7613931131,-5.9580521031,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,2,chinese:SSB0005,1,targeted,40608,10,0.5535081625,0.7407289352,-5.1325632419,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,native decoder bit marginal
audioseal,8,3,chinese:SSB0009,2,average,21666,,0.5124536753,0.7146071829,-5.1790531657,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,native decoder bit marginal
audioseal,8,3,chinese:SSB0009,2,single,22210,,0.7307138443,0.7750773598,-6.8572875760,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,native decoder bit marginal
audioseal,8,3,chinese:SSB0009,2,targeted,29707,1,0.6133518815,0.7221085895,-5.8042031109,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,native decoder bit marginal
