model,K,spk,local_t,gi,target,method,target_top1
timbrewm,5,chinese:SSB0005,0,0,712,mean,1
timbrewm,5,chinese:SSB0005,0,0,712,tct,1
timbrewm,5,chinese:SSB0005,0,0,962,mean,0
timbrewm,5,chinese:SSB0005,0,0,962,tct,0
timbrewm,5,chinese:SSB0005,0,0,747,mean,0
timbrewm,5,chinese:SSB0005,0,0,747,tct,0
timbrewm,5,chinese:SSB0005,0,0,617,mean,0
timbrewm,5,chinese:SSB0005,0,0,617,tct,0
timbrewm,5,chinese:SSB0005,0,0,832,mean,0
timbrewm,5,chinese:SSB0005,0,0,832,tct,0
timbrewm,5,chinese:SSB0005,0,0,968,mean,0
timbrewm,5,chinese:SSB0005,0,0,968,tct,1
timbrewm,5,chinese:SSB0005,0,0,648,mean,0
timbrewm,5,chinese:SSB0005,0,0,648,tct,0
timbrewm,5,chinese:SSB0005,0,0,714,mean,0
timbrewm,5,chinese:SSB0005,0,0,714,tct,0
timbrewm,5,chinese:SSB0005,0,0,744,mean,0
timbrewm,5,chinese:SSB0005,0,0,744,tct,1
timbrewm,5,chinese:SSB0005,0,0,713,mean,0
timbrewm,5,chinese:SSB0005,0,0,713,tct,0
timbrewm,5,chinese:SSB0005,1,1,437,mean,1
timbrewm,5,chinese:SSB0005,1,1,437,tct,1
timbrewm,5,chinese:SSB0005,1,1,373,mean,0
timbrewm,5,chinese:SSB0005,1,1,373,tct,0
timbrewm,5,chinese:SSB0005,1,1,292,mean,0
timbrewm,5,chinese:SSB0005,1,1,292,tct,0
timbrewm,5,chinese:SSB0005,1,1,308,mean,0
timbrewm,5,chinese:SSB0005,1,1,308,tct,0
timbrewm,5,chinese:SSB0005,1,1,293,mean,0
timbrewm,5,chinese:SSB0005,1,1,293,tct,0
timbrewm,5,chinese:SSB0005,1,1,277,mean,0
timbrewm,5,chinese:SSB0005,1,1,277,tct,0
timbrewm,5,chinese:SSB0005,1,1,261,mean,0
timbrewm,5,chinese:SSB0005,1,1,261,tct,0
timbrewm,5,chinese:SSB0005,1,1,276,mean,0
timbrewm,5,chinese:SSB0005,1,1,276,tct,0
